Q	Mismatches	TotalBases	Ts	Tv
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	7	10	1	6
4	4	10	1	3
5	12	24	6	6
6	4	18	3	1
7	3	18	1	2
8	1	35	0	1
9	1	36	0	1
10	2	47	1	1
11	3	93	0	3
12	7	123	2	5
13	2	199	0	2
14	0	234	0	0
15	0	295	0	0
16	1	377	0	1
17	0	448	0	0
18	0	546	0	0
19	0	616	0	0
20	1	796	1	0
21	0	961	0	0
22	0	1235	0	0
23	0	1430	0	0
24	1	1520	1	0
25	0	1681	0	0
26	1	1712	1	0
27	0	1723	0	0
28	0	2062	0	0
29	1	2123	0	1
30	2	2985	1	1
31	2	3490	2	0
32	1	4076	1	0
33	0	5348	0	0
34	2	6172	2	0
35	3	8373	3	0
36	3	9707	3	0
37	2	8658	1	1
38	1	1738	1	0
39	2	845	2	0
40	0	210	0	0
41	0	43	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
