Length	NumberOfReads
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	11
26	8
27	9
28	5
29	6
30	7
31	8
32	7
33	10
34	14
35	14
36	13
37	13
38	7
39	15
40	10
41	11
42	18
43	6
44	16
45	17
46	14
47	12
48	7
49	10
50	6
51	4
52	6
53	12
54	5
55	12
56	10
57	11
58	15
59	9
60	9
61	14
62	21
63	12
64	15
65	14
66	12
67	11
68	11
69	9
70	10
71	7
72	9
73	18
74	27
75	32
76	50
77	64
78	96
79	114
80	135
81	119
82	93
83	98
84	106
85	95
86	81
87	68
88	57
89	36
90	29
91	11
92	3
93	2
94	1
95	7
96	0
97	3
98	0
99	1
